,CDU2KEROFL
2015-07-17 7:00,42.5
2015-07-18 7:00,43
2015-07-19 7:00,43.5
2015-07-20 7:00,42.5
2015-07-20 22:00,45
2015-07-21 7:00,45
2015-07-22 7:00,43
2015-07-22 22:00,43
2015-07-23 7:00,43
2015-07-24 7:00,43
2015-07-24 22:00,43.5
2015-07-25 7:00,43
2015-07-25 14:00,54.5
2015-07-26 7:00,50.5
2015-07-27 9:00,52
2015-07-28 7:00,52
2015-07-29 5:00,50
2015-07-30 7:00,50.5
2015-07-31 7:00,52.5
2015-07-31 10:30,33
2015-08-01 7:00,39
2015-08-02 7:00,37
2015-08-02 19:00,51
2015-08-03 7:00,53.5
2015-08-04 14:00,44
2015-08-05 7:00,42.5
2015-08-06 7:00,42.5
2015-08-06 19:30,55
2015-08-07 7:00,50
2015-08-08 7:00,50.5
2015-08-09 7:00,52.5
2015-08-09 17:00,46
2015-08-10 7:00,41
2015-08-11 14:00,44.5
2015-08-12 7:00,43.5
2015-08-12 16:00,43.5
2015-08-13 7:00,42.5
2015-08-13 16:00,44.5
2015-08-13 22:00,41.5
2015-08-14 7:00,51
2015-08-14 22:00,51
2015-08-15 7:00,52.5
2015-08-15 23:40,46
2015-08-16 7:00,45
2015-08-16 19:00,43
2015-08-17 7:00,39.5
2015-08-18 7:00,43.5
2015-08-19 10:00,36.5
2015-08-19 16:00,42
2015-08-20 7:00,44.5
2015-08-20 14:00,44
2015-08-21 14:00,43
2015-08-22 7:00,43
2015-08-23 14:00,43.5
2015-08-24 7:00,43
2015-08-25 7:00,43
2015-08-26 7:00,43
2015-08-27 7:00,42
2015-08-28 7:00,47
2015-08-29 7:00,42.5
2015-08-29 17:00,44
2015-08-30 7:00,45
2015-08-31 7:00,42
2015-09-01 16:00,44
2015-09-02 7:00,42
2015-09-03 7:00,45.5
2015-09-03 22:00,39.5
2015-09-04 7:00,45
2015-09-05 7:00,45
2015-09-05 11:00,41
2015-09-06 7:00,41
2015-09-07 7:00,35.5
2015-09-07 19:00,38
2015-09-08 7:00,37
2015-09-09 7:00,36
2015-09-10 7:00,39.5
2015-09-11 7:00,36.5
2015-09-11 22:00,50
2015-09-12 7:00,48
2015-09-12 14:00,49.5
2015-09-13 7:00,53
2015-09-14 9:30,55
2015-09-14 17:40,44.5
2015-09-15 7:00,45
2015-09-16 7:00,43
2015-09-17 7:00,40.5
2015-09-18 7:00,41
2015-09-19 7:00,44
2015-09-20 7:00,44
2015-09-21 7:00,44
2015-09-21 11:00,62
2015-09-22 7:00,63
2015-09-23 3:25,64
2015-09-23 13:15,63
2015-09-23 22:00,64
2015-09-24 7:00,64
2015-09-24 14:00,63
2015-09-24 21:30,65
2015-09-25 7:00,64
2015-09-25 14:00,61
2015-09-25 16:50,66
2015-09-26 7:00,65
2015-09-26 16:00,63
2015-09-27 7:00,62
2015-09-28 7:00,63
2015-09-29 7:00,65
2015-09-30 7:00,66
2015-10-01 7:00,63
2015-10-01 14:00,50.5
2015-10-02 7:00,51
2015-10-02 16:00,50
2015-10-02 20:00,51
2015-10-03 7:00,52.5
2015-10-04 7:00,53
2015-10-04 22:00,51.5
2015-10-05 7:00,52
2015-10-06 7:00,52.5
2015-10-07 7:00,54
2015-10-07 18:00,54.5
2015-10-08 7:00,53
2015-10-09 7:00,53.5
2015-10-10 7:00,56
2015-10-11 7:00,54
2015-10-12 14:00,51.5
2015-10-13 7:00,51
2015-10-13 12:00,62
2015-10-14 7:00,65
2015-10-15 7:00,66
